date,margin_balance,short_balance,margin_amount,date_obj,trade_value,twii,margin_ratio_pct
20260422,8630031,185944,438545241,2026-04-22,979876044142,37878.47,44.75517527158238
20260423,8501697,187872,430827021,2026-04-23,1460103003620,37714.15,29.50661836403736
20260424,8566954,190811,440907083,2026-04-24,1081153827550,38932.4,40.781160993448864
20260427,8655252,192285,452044394,2026-04-27,1248027623513,39616.63,36.22070421226468
20260428,8677067,197612,457109757,2026-04-28,1057488155712,39521.73,43.225993079064885
20260429,8672780,197420,460963803,2026-04-29,915272695535,39303.5,50.363547962124564
20260430,8680623,206703,460904578,2026-04-30,1074901891496,38926.63,42.87875774025607
20260504,8773740,214787,470393584,2026-05-04,1051315643566,40705.14,44.7433258392744
20260505,8873952,203730,475145292,2026-05-05,1049334722789,40769.29,45.28062225341438
20260506,8843982,201385,475648471,2026-05-06,1524012557672,41138.85,31.210272422333258
20260507,8901870,201712,482664170,2026-05-07,1246902674041,41933.78,38.70904923443362
20260508,8755835,205035,477184758,2026-05-08,1305390328230,41603.94,36.55494817760927
20260511,8876247,211317,484592746,2026-05-11,1170487539244,41790.06,41.40093164195418
20260512,9085010,211972,491194951,2026-05-12,1446228503722,41898.32,33.96385493273472
20260513,9138866,228157,494418035,2026-05-13,1265792083975,41374.5,39.059972112273456
20260514,9100431,229030,499134844,2026-05-14,1275384785248,41751.75,39.136019950476566
20260515,9038698,231677,492797137,2026-05-15,1374865492241,41172.36,35.843298110330174
20260518,9149159,239437,501619604,2026-05-18,1042046645948,40891.82,48.137922227430856
20260519,9076489,239205,496887083,2026-05-19,1151219413754,40175.56,43.16180539204997
20260520,9057024,244522,502079185,2026-05-20,1027552700623,40020.82,48.86164813693662
20260521,9125858,262407,511154475,2026-05-21,1047623792398,41368.21,48.79179708490323
20260522,9236393,257442,522289307,2026-05-22,1236888820897,42267.97,42.22605121624693
20260525,9273748,232580,530476074,2026-05-25,1352710348031,43644.4,39.2157918191547
20260526,9174570,228387,534592623,2026-05-26,1549710749032,43525.37,34.496284118434616
20260527,9155800,241621,536269185,2026-05-27,1630077580758,44256.8,32.89838418307859
20260528,9113201,248097,535029538,2026-05-28,1670718874089,43636.44,32.02391176024379
20260529,9309242,241804,556359646,2026-05-29,1916952445914,44732.94,29.023132377951537
20260601,9391953,234867,565779103,2026-06-01,1611133989740,45337.91,35.116824957017
20260602,9373187,260047,566970793,2026-06-02,1696398095158,45557.31,33.42203664448192
20260603,9398973,259795,568395323,2026-06-03,1517535663789,46459.16,37.4551542057881
20260604,9406062,269861,572635940,2026-06-04,1325597743625,45677.46,43.19831885305273
20260605,9289946,260933,566649267,2026-06-05,1319821926499,45070.94,42.93376671678059
20260608,9066915,237429,551012201,2026-06-08,1216574603939,43502.78,45.29210121729848
20260609,9177018,216203,563876896,2026-06-09,1224062987846,44704.44,46.0660032693466
20260610,9041627,219750,546811625,2026-06-10,1424069567256,43225.54,38.39781690255737
20260611,9073020,224344,549176982,2026-06-11,1338516691099,43149.46,41.028773541037715
20260612,9088829,224946,557027949,2026-06-12,1169186958350,44169.04,47.64233341997746
20260615,9195123,205177,571907094,2026-06-15,1115744351199,45396.99,51.25789732974385
20260616,9180710,194525,571307649,2026-06-16,1262185518120,45809.19,45.263365868034306
20260617,9306162,191375,583911936,2026-06-17,1154595951473,45877.39,50.572837645503796
20260618,9345247,204357,593046547,2026-06-18,1606195402305,46465.2,36.92244082811703
20260622,9462366,202267,605041591,2026-06-22,1515817959773,47741.51,39.91518817276763
20260623,9300664,204255,593929137,2026-06-23,1672355337665,47100.65,35.51452993412658
20260624,9469030,202194,607456271,2026-06-24,1539046268153,46043.6,39.46965621306529
20260625,9512447,199161,611000560,2026-06-25,1368076901597,46255.26,44.66127300934322
20260626,9328374,203932,590925882,2026-06-26,1672832488417,44571.76,35.32486881332587
20260630,9435456,194887,611652207,2026-06-30,1266062228020,46125.91,48.31138576470806
20260701,9414925,196392,609502407,2026-07-01,1367817795171,47018.99,44.56020452079307
