date,close,balance_lots,WACP,est_margin_yi,collateral_yi,maintenance_ratio_pct,method,sample_size,is_full_window,code,name
20260617,49.54011917114258,37521,50.14,11.29,11.15,98.8,net_buy,15,False,2609,陽明
20260618,49.25209426879883,37510,50.14,11.28,11.08,98.23,net_buy,16,False,2609,陽明
20260622,50.21217346191406,36323,50.14,10.93,10.94,100.14,net_buy,17,False,2609,陽明
20260623,49.25209426879883,36790,50.09,11.06,10.87,98.33,net_buy,18,False,2609,陽明
20260624,49.54011917114258,36460,50.09,10.96,10.84,98.91,net_buy,19,False,2609,陽明
20260625,49.348106384277344,36252,50.09,10.89,10.73,98.52,net_buy,20,False,2609,陽明
20260626,48.099998474121094,36300,50.08,10.91,10.48,96.05,net_buy,21,False,2609,陽明
20260629,49.348106384277344,36166,50.08,10.87,10.71,98.55,net_buy,22,False,2609,陽明
20260630,49.92415237426758,36007,50.08,10.82,10.79,99.7,net_buy,23,False,2609,陽明
20260701,48.676048278808594,36587,49.98,10.97,10.69,97.39,net_buy,24,False,2609,陽明
20260702,48.964073181152344,37269,49.91,11.16,10.95,98.11,net_buy,25,False,2609,陽明
20260703,50.30818557739258,36641,49.91,10.97,11.06,100.8,net_buy,26,False,2609,陽明
20260706,50.88423156738281,35982,49.91,10.77,10.99,101.96,net_buy,27,False,2609,陽明
20260707,49.06007766723633,36208,49.89,10.84,10.66,98.34,net_buy,28,False,2609,陽明
20260708,50.21217346191406,35885,49.89,10.74,10.81,100.65,net_buy,29,False,2609,陽明
20260709,49.54011917114258,35597,49.89,10.65,10.58,99.3,net_buy,30,True,2609,陽明
20260713,48.099998474121094,35892,49.83,10.73,10.36,96.52,net_buy,30,True,2609,陽明
20260714,48.0,36497,49.73,10.89,10.51,96.53,net_buy,30,True,2609,陽明
20260715,50.20000076293945,35577,49.12,10.49,10.72,102.2,net_buy,30,True,2609,陽明
20260716,50.20000076293945,35341,49.12,10.42,10.64,102.2,net_buy,30,True,2609,陽明
20260717,49.20000076293945,34495,49.12,10.17,10.18,100.16,net_buy,30,True,2609,陽明
20260720,49.0,34422,48.96,10.11,10.12,100.07,net_buy,30,True,2609,陽明
