date,margin_balance,short_balance,margin_amount,date_obj,trade_value,twii,margin_ratio_pct
20260601,9391953,234867,565779103,2026-06-01,1611133989740,45337.91,0.035116824957017
20260602,9373187,260047,566970793,2026-06-02,1696398095158,45557.31,0.03342203664448192
20260603,9398973,259795,568395323,2026-06-03,1517535663789,46459.16,0.0374551542057881
20260604,9406062,269861,572635940,2026-06-04,1325597743625,45677.46,0.04319831885305273
20260605,9289946,260933,566649267,2026-06-05,1319821926499,45070.94,0.042933766716780584
20260608,9066915,237429,551012201,2026-06-08,1216574603939,43502.78,0.04529210121729848
20260609,9177018,216203,563876896,2026-06-09,1224062987846,44704.44,0.0460660032693466
20260610,9041627,219750,546811625,2026-06-10,1424069567256,43225.54,0.03839781690255738
20260611,9073020,224344,549176982,2026-06-11,1338516691099,43149.46,0.04102877354103771
20260612,9088829,224946,557027949,2026-06-12,1169186958350,44169.04,0.04764233341997746
20260615,9195123,205177,571907094,2026-06-15,1115744351199,45396.99,0.05125789732974385
20260616,9180710,194525,571307649,2026-06-16,1262185518120,45809.19,0.045263365868034304
20260617,9306162,191375,583911936,2026-06-17,1154595951473,45877.39,0.05057283764550379
20260618,9345247,204357,593046547,2026-06-18,1606195402305,46465.2,0.036922440828117034
20260622,9462366,202267,605041591,2026-06-22,1515817959773,47741.51,0.039915188172767624
20260623,9300664,204255,593929137,2026-06-23,1672355337665,47100.65,0.03551452993412658
20260624,9469030,202194,607456271,2026-06-24,1539046268153,46043.6,0.039469656213065286
